[2021-11-11 08:22:36] [ ERROR] [ExceptionGlobalHandler:16] Error al crear producto, verifique la información
[2021-11-11 08:23:01] [ ERROR] [ExceptionGlobalHandler:16] Error al crear producto, verifique la información
[2021-11-11 08:25:11] [ ERROR] [ExceptionGlobalHandler:16] Error al crear producto, verifique la información
[2021-11-11 08:26:25] [ ERROR] [ExceptionGlobalHandler:16] Error al crear producto, verifique la información
[2021-11-11 08:27:14] [ ERROR] [ExceptionGlobalHandler:16] Error al crear producto, verifique la información
[2021-11-11 08:31:00] [ ERROR] [ExceptionGlobalHandler:16] Error al crear producto, verifique la información
[2021-11-11 08:31:44] [ ERROR] [ExceptionGlobalHandler:16] Error al crear producto, verifique la información
[2021-11-11 09:32:36] [ ERROR] [ExceptionGlobalHandler:16] Error al crear producto, verifique si la información de las tablas relacionadas existe
[2021-11-11 09:35:22] [ ERROR] [ExceptionGlobalHandler:16] Error al crear producto, verifique si la información de las tablas relacionadas existe
[2021-11-11 09:49:59] [ ERROR] [ExceptionGlobalHandler:16] Error al crear producto, verifique la información
[2021-11-11 09:50:45] [ ERROR] [ExceptionGlobalHandler:16] Error al crear producto, verifique la información
[2021-11-11 09:51:46] [ ERROR] [ExceptionGlobalHandler:16] Error al crear producto, verifique la información
[2021-11-11 11:29:07] [ ERROR] [ExceptionGlobalHandler:16] Producto no encontrado, por favor compruebe
[2021-11-18 17:48:53] [ ERROR] [ExceptionGlobalHandler:22] Errores encontrados, por favor compruebe e intente nuevamente
[2021-11-18 17:48:53] [ ERROR] [ExceptionGlobalHandler:22] Errores encontrados, por favor compruebe e intente nuevamente
[2021-11-18 17:49:09] [ ERROR] [ExceptionGlobalHandler:22] Errores encontrados, por favor compruebe e intente nuevamente
[2021-11-18 17:49:09] [ ERROR] [ExceptionGlobalHandler:22] Errores encontrados, por favor compruebe e intente nuevamente
[2021-11-18 17:52:36] [ ERROR] [ExceptionGlobalHandler:16] Categoria no encontrada, por favor compruebe
[2021-11-18 17:52:45] [ ERROR] [ExceptionGlobalHandler:16] Categoria no encontrada, por favor compruebe
[2021-11-18 17:57:21] [ ERROR] [ExceptionGlobalHandler:16] Error al crear producto, verifique la informaci�n
[2021-11-22 09:26:08] [ ERROR] [ExceptionGlobalHandler:22] Errores encontrados, por favor compruebe e intente nuevamente
[2021-11-22 09:34:07] [ ERROR] [ExceptionGlobalHandler:22] Errores encontrados, por favor compruebe e intente nuevamente
